Description,Weight,d,bf,tf,tw,r1,d1,tw,2tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,flange,web,kf,"C,N,S",Zex,"C,N,S",Zey,,,,,?b,Fu,,,,,,,,,,,,,,Residual,,Type,,,,,,,,,,,,,,,,,,,,
,kg/m,mm,mm,mm,mm,mm,mm,mm,mm,mm²,x10? mm?,x10³ mm³,x10³ mm³,mm,x10? mm?,x10³ mm³,x10³ mm³,mm,x10³ mm?,x10? mm?,MPa,MPa,,,x10³ mm³,,x10³ mm³,mm,mm,,,,MPa,,,,,,,,,,,,,,Stress,,,,,,,,,,,,,,,,,,,,,,
165.1 x 5.4 CHS (C250),21.3,165.1,165.1,5.4,5.4,,154,,,2710,8.65,105,138,56.5,8.65,105,138,56.5,17300,0,250,250,1.000,C,138,C,138,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
165.1 x 5.0 CHS (C250),19.7,165.1,165.1,5.0,5.0,,155,,,2510,8.07,97.7,128,56.6,8.07,97.7,128,56.6,16100,0,250,250,1.000,C,128,C,128,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
139.7 x 5.4 CHS (C250),17.9,139.7,139.7,5.4,5.4,,129,,,2280,5.14,73.7,97.4,47.5,5.14,73.7,97.4,47.5,10300,0,250,250,1.000,C,97.4,C,97.4,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
139.7 x 5.0 CHS (C250),16.6,139.7,139.7,5.0,5.0,,130,,,2120,4.81,68.8,90.8,47.7,4.81,68.8,90.8,47.7,9610,0,250,250,1.000,C,90.8,C,90.8,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
114.3 x 5.4 CHS (C250),14.5,114.3,114.3,5.4,5.4,,104,,,1850,2.75,48,64.1,38.5,2.75,48,64.1,38.5,5490,0,250,250,1.000,C,64.1,C,64.1,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
114.3 x 4.5 CHS (C250),12.2,114.3,114.3,4.5,4.5,,105,,,1550,2.34,41,54.3,38.9,2.34,41,54.3,38.9,4690,0,250,250,1.000,C,54.3,C,54.3,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
101.6 x 5.0 CHS (C250),11.9,101.6,101.6,5.0,5.0,,91.6,,,1520,1.77,34.9,46.7,34.2,1.77,34.9,46.7,34.2,3550,0,250,250,1.000,C,46.7,C,46.7,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
101.6 x 4.0 CHS (C250),9.63,101.6,101.6,4.0,4.0,,93.6,,,1230,1.46,28.8,38.1,34.5,1.46,28.8,38.1,34.5,2930,0,250,250,1.000,C,38.1,C,38.1,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
88.9 x 5.9 CHS (C250),12.1,88.9,88.9,5.9,5.9,,77.1,,,1540,1.33,30,40.7,29.4,1.33,30,40.7,29.4,2660,0,250,250,1.000,C,40.7,C,40.7,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
88.9 x 5.0 CHS (C250),10.3,88.9,88.9,5.0,5.0,,78.9,,,1320,1.16,26.2,35.2,29.7,1.16,26.2,35.2,29.7,2330,0,250,250,1.000,C,35.2,C,35.2,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
88.9 x 4.0 CHS (C250),8.38,88.9,88.9,4.0,4.0,,80.9,,,1070,0.963,21.7,28.9,30.0,0.963,21.7,28.9,30.0,1930,0,250,250,1.000,C,28.9,C,28.9,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
76.1 x 5.9 CHS (C250),10.2,76.1,76.1,5.9,5.9,,64.3,,,1300,0.807,21.2,29.1,24.9,0.807,21.2,29.1,24.9,1610,0,250,250,1.000,C,29.1,C,29.1,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
76.1 x 4.5 CHS (C250),7.95,76.1,76.1,4.5,4.5,,67.1,,,1010,0.651,17.1,23.1,25.4,0.651,17.1,23.1,25.4,1300,0,250,250,1.000,C,23.1,C,23.1,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
76.1 x 3.6 CHS (C250),6.44,76.1,76.1,3.6,3.6,,68.9,,,820,0.54,14.2,18.9,25.7,0.54,14.2,18.9,25.7,1080,0,250,250,1.000,C,18.9,C,18.9,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
60.3 x 5.4 CHS (C250),7.31,60.3,60.3,5.4,5.4,,49.5,,,931,0.354,11.8,16.3,19.5,0.354,11.8,16.3,19.5,709,0,250,250,1.000,C,16.3,C,16.3,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
60.3 x 4.5 CHS (C250),6.19,60.3,60.3,4.5,4.5,,51.3,,,789,0.309,10.2,14,19.8,0.309,10.2,14,19.8,618,0,250,250,1.000,C,14,C,14,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
60.3 x 3.6 CHS (C250),5.03,60.3,60.3,3.6,3.6,,53.1,,,641,0.259,8.58,11.6,20.1,0.259,8.58,11.6,20.1,517,0,250,250,1.000,C,11.6,C,11.6,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
48.3 x 4.0 CHS (C250),4.37,48.3,48.3,4.0,4.0,,40.3,,,557,0.138,5.7,7.87,15.7,0.138,5.7,7.87,15.7,275,0,250,250,1.000,C,7.87,C,7.87,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
48.3 x 3.2 CHS (C250),3.56,48.3,48.3,3.2,3.2,,41.9,,,453,0.116,4.8,6.52,16,0.116,4.8,6.52,16,232,0,250,250,1.000,C,6.52,C,6.52,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
42.4 x 4.0 CHS (C250),3.79,42.4,42.4,4.0,4.0,,34.4,,,483,0.0899,4.24,5.92,13.6,0.0899,4.24,5.92,13.6,180,0,250,250,1.000,C,5.92,C,5.92,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
42.4 x 3.2 CHS (C250),3.09,42.4,42.4,3.2,3.2,,36,,,394,0.0762,3.59,4.93,13.9,0.0762,3.59,4.93,13.9,152,0,250,250,1.000,C,4.93,C,4.93,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
33.7 x 4.0 CHS (C250),2.93,33.7,33.7,4.0,4.0,,25.7,,,373,0.0419,2.49,3.55,10.6,0.0419,2.49,3.55,10.6,83.8,0,250,250,1.000,C,3.55,C,3.55,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
33.7 x 3.2 CHS (C250),2.41,33.7,33.7,3.2,3.2,,27.3,,,307,0.036,2.14,2.99,10.8,0.036,2.14,2.99,10.8,72.1,0,250,250,1.000,C,2.99,C,2.99,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
26.9 x 4.0 CHS (C250)*,2.26,26.9,26.9,4.0,4.0,,18.9,,,288,0.0194,1.45,2.12,8.22,0.0194,1.45,2.12,8.22,38.9,0,250,250,1.000,C,2.12,C,2.12,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
26.9 x 3.2 CHS (C250)*,1.87,26.9,26.9,3.2,3.2,,20.5,,,238,0.017,1.27,1.81,8.46,0.017,1.27,1.81,8.46,34.1,0,250,250,1.000,C,1.81,C,1.81,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
26.9 x 2.6 CHS (C250)*,1.56,26.9,26.9,2.6,2.6,,21.7,,,198,0.0148,1.1,1.54,8.64,0.0148,1.1,1.54,8.64,29.6,0,250,250,1.000,C,1.54,C,1.54,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
21.3 x 3.2 CHS (C250),1.43,21.3,21.3,3.2,3.2,,14.9,,,182,0.00768,0.722,1.06,6.5,0.00768,0.722,1.06,6.5,15.4,0,250,250,1.000,C,1.06,C,1.06,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
21.3 x 2.6 CHS (C250),1.20,21.3,21.3,2.6,2.6,,16.1,,,153,0.00681,0.639,0.915,6.68,0.00681,0.639,0.915,6.68,13.6,0,250,250,1.000,C,0.915,C,0.915,,,,,-0.5,320,,,,,,,,,,,,,,CF,,4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
